Time,Lon,Lat
2019-07-13T00:00:00.000Z,106.743,12.348
2019-07-13T00:10:00.000Z,-72.325,-18.131
2019-07-13T00:20:00.000Z,-50.156,12.177
2019-07-13T00:30:00.000Z,-21.605,39.743
2019-07-13T00:40:00.000Z,30.173,51.684
2019-07-13T00:50:00.000Z,77.983,35.717
2019-07-13T01:00:00.000Z,104.299,7.072
2019-07-13T01:10:00.000Z,126.967,-23.093
2019-07-13T01:20:00.000Z,162.545,-47.054
2019-07-13T01:30:00.000Z,-141.104,-48.643
2019-07-13T01:40:00.000Z,-103.005,-26.161
2019-07-13T01:50:00.000Z,-79.873,3.718
2019-07-13T02:00:00.000Z,-54.819,32.84
2019-07-13T02:10:00.000Z,-10.02,51.168
2019-07-13T02:20:00.000Z,43.977,42.233
2019-07-13T02:30:00.000Z,74.431,15.492
2019-07-13T02:40:00.000Z,96.585,-14.912
2019-07-13T02:50:00.000Z,126.553,-41.743
2019-07-13T03:00:00.000Z,179.829,-51.334
2019-07-13T03:10:00.000Z,-134.789,-33.697
2019-07-13T03:20:00.000Z,-109.457,-4.79
2019-07-13T03:30:00.000Z,-86.476,25.207
2019-07-13T03:40:00.000Z,-48.982,48.231
2019-07-13T03:50:00.000Z,7.718,47.44
2019-07-13T04:00:00.000Z,43.979,23.67
2019-07-13T04:10:00.000Z,66.754,-6.491
2019-07-13T04:20:00.000Z,92.756,-35.172
2019-07-13T04:30:00.000Z,139.701,-51.6
2019-07-13T04:40:00.000Z,-168.174,-40.464
2019-07-13T04:50:00.000Z,-139.205,-13.223
2019-07-13T05:00:00.000Z,-117.07,17.11
2019-07-13T05:10:00.000Z,-85.684,43.336
2019-07-13T05:20:00.000Z,-30.871,50.79
2019-07-13T05:30:00.000Z,12.548,31.424
2019-07-13T05:40:00.000Z,37.147,2.03
2019-07-13T05:50:00.000Z,60.67,-27.757
2019-07-13T06:00:00.000Z,100.279,-49.391
2019-07-13T06:10:00.000Z,156.335,-46.073
2019-07-13T06:20:00.000Z,-169.432,-21.45
2019-07-13T06:30:00.000Z,-147.011,8.742
2019-07-13T06:40:00.000Z,-120.073,37.038
2019-07-13T06:50:00.000Z,-70.96,51.783
2019-07-13T07:00:00.000Z,-20.342,38.502
2019-07-13T07:10:00.000Z,7.465,10.526
2019-07-13T07:20:00.000Z,29.787,-19.796
2019-07-13T07:30:00.000Z,62.881,-45.073
2019-07-13T07:40:00.000Z,118.489,-50.011
2019-07-13T07:50:00.000Z,159.493,-29.306
